Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,87758.0,M/S KAY AND KAY TRADING CO.,INR,1496200.0,11,87771,INDO MARKETING SERVICES,09-Sep-2020 01:35 PM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,87763.0,M/S RASHMITA DRUGS AND SURGICALS,INR,858725.0,12,87119,MAINDEOR ENTERPRISE,09-Sep-2020 02:12 PM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,87771.0,INDO MARKETING SERVICES,INR,1746610.0,13,87827,M/S A.D Enterprise,09-Sep-2020 01:27 PM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,87772.0,Assam Manufacturer Repacking and Distributor,INR,2495030.0,14,87773,M/s Harbans Pharma and Surgicals,09-Sep-2020 02:22 PM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,87773.0,M/s Harbans Pharma and Surgicals,INR,1930000.0,15,87758,M/S KAY AND KAY TRADING CO.,07-Sep-2020 12:36 PM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,87804.0,MS Mayur Pharmaceuticals,INR,917550.0,16,87804,MS Mayur Pharmaceuticals,09-Sep-2020 01:23 PM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,87827.0,M/S A.D Enterprise,INR,2467900.0,17,87763,M/S RASHMITA DRUGS AND SURGICALS,07-Sep-2020 01:37 PM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,87843.0,BIO-CARE ASSOCIATES,INR,450000.0,18,87873,M/S. SISIR PHARMACEUTICALS,09-Sep-2020 12:53 PM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,87873.0,M/S. SISIR PHARMACEUTICALS,INR,1728000.0,19,87147,M/s Town Drugs,09-Sep-2020 10:50 AM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,87896.0,SDB AGROCHEM,INR,735500.0,20,87573,P.D. Associates,09-Sep-2020 11:21 AM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,87896,SDB AGROCHEM,09-Sep-2020 01:03 PM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,86875,THE HIMALAYA DRUG COMPANY,03-Sep-2020 10:22 AM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,87262,Woonmilon,02-Sep-2020 12:44 PM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
