0,1,2,3,4,5,6,7,8
"Infrastructure Damaged - 
Wildlife",Nil,,,,,,,
"Infrastructure Damaged - 
Others",District,Other Details,,,,,,
,Biswanath,"Gohpur - Elementary Schools Damaged | Basisthapur LP School is inundated by water from Sessa 
River on 11/06/23 . Latitude: 26.9209154 Longitude:93.7506546,  
Secondary Schools Damaged | Dubia MV School is inundated by water from Dubia River on 
11/06/23 Latitude:26.9019438, Longitude :93.6986968,  
Secondary Schools Damaged | Dubia Girls High School is inundated by water from Dubia River 
on 11/06/23 Latitude:26.9032085, Longitude :93.6933884,  
Anganwadi Centres Affected | Bishnupur AWC is heavily damaged by flood water from Sessa 
River on 11/06/23 Latitude:26.9721746, Longitude:93.7020637,  
Road Breaches | Road connecting Pub Dubia Borigaon to Dubia Pub Dubia High School is washed 
away for about 10 ft by flood water from Dubia River on 11/06/23. Latitude :26.9154470, 
Longitude:93.7120502",,,,,,
,Dibrugarh,"Chabua - Anganwadi Centres Affected | DODHIA TENGABARI AWC AFFECTED AS PER 
INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT. ON 12/6/2023 Coordinates-
N27. 56 E95. 23,  
Anganwadi Centres Affected | DODHIA AWC AFFECTED AS PER INFORMATION 
RECEIVED FROM SOCIAL WELFARE DEPT. ON 12/6/2023 Coordinates-N27.60 E95.23,  
Anganwadi Centres Affected | DODHIA KULIGAON AWC AFFECTED AS PER 
INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 12/6/2023 Coordinates-
N27. 59 E95. 21",,,,,,
,Lakhimpur,"Narayanpur - Bridge Approach Road Damaged | On dated 12/06/2023 Approach slab of Bridge 
No 4/1 on Narayanpur Tatibahar Rongoti Simoluguri Road has been damaged due to rain.,",,,,,,
,,"Bridge Approach Road Damaged | On dated 12/06/2023 Rongoti Dhemagarh Mazgaon Bridge. 
The approach road and the boulder protection has been washed due to excess pressure of the river 
water.",,,,,,
Erosion,District,Details,,,,,,
,Barpeta,"Kalgachia - 1. Sawrachara Gaon, 2. Sawrachara pathar | 1. under going erosion from PWD road to 
Mafiz Ali house at Shawrachara Gaon by Beki River approx. 500 m., reported by LM on 
12.06.2023, Latitude-26.26582, Longitude-90.8320933 2. Under going erosion from Aynal Hoque 
house to Nasir Uddin at Shawrachara Pather by Beki River approx. 500 m., reported by LM on 
12.06.2023,Latitude-26.2653833, Longitude-90.83144499 | 0 | (Long - 0.000000, Lat - 0.000000)",,,,,,
,Biswanath,"Gohpur - Mild erosion is observed at R/bank embankrnent of river Sessa | at Gupsarguri area of 
Length : 150.00m on 12/06/23 | 0 | (Long - 93.209210, Lat - 26.991027),  
Halem - 1.Madhya Chatrang 2.Brahmajan at Daraikhat area, Paken area at Jamuguri to Kharoi | 1. 
Mild erosion observed at R/B Embankment of river Chatrang at Madhya Chatrang area (ward no 
6), 600m D/S of National Highway-15, length=55m(report on 11/06/2023 by WR divi. Tezpur) 2. 
Mild erosion observed at R/B Embankment of river Chatrang at Madhya Chatrang area (ward no 
6), 820m D/S of National Highway-15, length=60 m(report on 11/06/2023 by WR divi. Tezpur) 
3.Mild erosion observed at R/B Embankment of river Brahmajan at Daraikhat area from Ch 
11000m to 11050m) length=50 m(report on 11/06/2023 by WR divi. Tezpur) 4.Mild erosion 
observed at R/B Embankment of river Brahmajan at Daraikhat area from Ch 11800m to 11850m) 
length=50 m(report on 11/06/2023 by WR divi. Tezpur) 5.Mild Erosion observed at R/Bank 
Embankment of river Chatrang at Madhya Chatrang area (Ward No-6), 600m D/S of National 
Highway (NH-15) .Length = 55 m (Avg Width = 1.20m)(report on 12/06/2023 by WR divi. 
Tezpur) 6. Mild Erosion observed at R/Bank Embankment of river Chatrang at Madhya Chatrang 
area (Ward No-6), 820m D/S of National Highway (NH-15) . Length = 60 m (Avg. Width = 
1.00m)Latitude : 26.871368Longitude: 93.616749(report on 12/06/2023 by WR divi. Tezpur) 7. 
Mild Erosion observed at R/Bank Embankment of river Brahmajan at Dariakhat area, Length = 50 
m (Avg Width = 0.50m)Latitude : 26.839955 Longitude: 93.526271 report on 12/06/2023 8.Mild 
Erosion observed at R/Bank Embankment of river Brahmajan at Dariakhat area, Length = 50 m 
(Avg Width = 0.50m)Latitude : 26.837759 Longitude: 93.532950 report on 12-6-2023 9.Mild 
Erosion observed at L/Bank Embankment of river Brahmajan at Dariakhat area, Length = 60 m 
(Avg Width = 0.50m)Latitude : 26.844408 Longitude: 93.523516 report on 12-6-2023 10.Mild 
erosion is observed of river Brahmaputra at Paken area of B-dyke from Jamuguri to Kharoi outfall. 
Length = 30m (Avg Width = 0.30m) From Latitude : 26.7993863 Longitude: 93.6246652 report on 
12-6-2023 | 0 | (Long - 93.615084, Lat - 26.877059)",,,,,,
,Darrang,"Mangaldoi - Chereng Chapori village | Due to sudden rise of water level, river bank eroded away 
by a lenth of 150m. Dated 11/06/2023. | 0 | (Long - 92.019238, Lat - 26.389659)",,,,,,
,Dhubri,"Agamoni - Bholarkhas under Chotoguma GP | A significant portion of the BHOLARKHAS-
KAIMARI DRDA ROAD CUM EMBANKMENT, located in the village of Bholarkhas and the 
adjacent village of Kaimari Pt-I, has experienced erosion.Date of incident:- 07-06-2023 to 12-06-
2023 Land eroded:- Land measuring around 0 Bigha 01 Katha 10 Lessa | 0 | (Long - 89.799900, 
Lat - 26.310200)",,,,,,
Landslide,Nil,,,,,,,
Urban Flood,"District 
Details",,,,,,,
,"Silchar - National Highway, Link Road, Ambicapatty, N.S. AVENUE, Sonai Road | Flash flood in 
Cachar 
different places of Silchar Town due to heavy rainfall dated 12.06.2023. | 15000 | (Long - 
0.000000, Lat - 0.000000)",,,,,,,
"*Bajali, Biswanath, Hojai and Tamulpur are sub-divisions (Independent)",,,,,,,,
