S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,103068,Sri Gopikrishna Infrastructure Pvt Ltd,28-Jan-2021 04:29 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:56 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,103291,Star Rising Energy Pvt. Ltd.,02-Feb-2021 02:53 PM,Rejected-Technical,Techno-Commercially Non-Responsive,07-Jul-2021 05:52 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,13,103193,S. T. ELECTRICALS PVT. LTD.,02-Feb-2021 02:06 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:56 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,14,102728,surendra electricals p ltd,02-Feb-2021 11:20 AM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:56 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,15,102758,UTKARSH INDIA LIMITED,01-Feb-2021 09:15 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:56 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,16,104639,Vijai Electricals Limited,02-Feb-2021 11:49 AM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:56 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,17,104653,VIKRAN Engineering and Exim Pvt. Ltd.,02-Feb-2021 12:59 AM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:56 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,18,103345,Vindhya Telelinks Limited,02-Feb-2021 01:18 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:56 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,19,104254,Win Power Infra Pvt Ltd,01-Feb-2021 06:25 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:56 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,20,104022,Zetwerk Manufacturing Businesses Private Limited,02-Feb-2021 01:58 PM,Rejected-AOC,Not L1 bidder,29-Dec-2021 01:56 PM,,,,,AOC
